bodyparts,Nose,Nose,Nose,EarR,EarR,EarR,EarL,EarL,EarL,ForepawToeR,ForepawToeR,ForepawToeR,ForepawToeL,ForepawToeL,ForepawToeL,HindpawToeR,HindpawToeR,HindpawToeR,HindpawToeL,HindpawToeL,HindpawToeL
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
FrameIdx,,,,,,,,,,,,,,,,,,,,,
150467,171.1214141845703,155.74156188964844,1.0,132.14443969726562,87.33150482177734,1.0,203.0660400390625,81.23582458496094,1.0,158.61500549316406,174.242919921875,1.0,188.94293212890625,178.19189453125,0.9999998807907104,139.34327697753906,174.94300842285156,1.0,203.6898651123047,172.550537109375,1.0
150468,171.44412231445312,156.4246826171875,1.0,131.160888671875,88.56121826171875,1.0,202.43475341796875,81.39742279052734,1.0,155.74734497070312,173.28387451171875,1.0,188.06565856933594,178.69737243652344,1.0,139.6698760986328,175.2786102294922,1.0,204.32363891601562,171.91470336914062,1.0
150469,172.19488525390625,157.8722381591797,1.0,131.28790283203125,89.67903900146484,1.0,202.54539489746094,82.14913940429688,1.0,154.79957580566406,172.74114990234375,1.0,188.02987670898438,180.15164184570312,1.0,138.77435302734375,174.990234375,1.0,203.4160614013672,170.81863403320312,1.0
150470,172.64105224609375,159.07406616210938,1.0,131.19793701171875,90.84917449951172,1.0,203.13262939453125,82.72003936767578,1.0,155.4056396484375,174.6703643798828,1.0,187.11109924316406,180.0735626220703,1.0,139.1291961669922,175.06785583496094,1.0,201.9236602783203,170.6376495361328,1.0
150471,173.80703735351562,161.34100341796875,1.0,132.47125244140625,91.6558837890625,1.0,203.14132690429688,84.23324584960938,1.0,155.3284912109375,174.72103881835938,1.0,188.55345153808594,179.40533447265625,1.0,138.9292755126953,175.05947875976562,1.0,201.976806640625,169.7926025390625,0.9999998807907104
150472,174.903076171875,162.8300018310547,1.0,133.9554901123047,92.42884826660156,1.0,204.47494506835938,86.0290298461914,1.0,154.54611206054688,174.2429962158203,1.0,189.10537719726562,178.95184326171875,1.0,138.4890899658203,174.97259521484375,1.0,204.06903076171875,170.24200439453125,0.9999998807907104
150473,176.30914306640625,163.29454040527344,1.0,134.26930236816406,93.61724853515625,1.0,206.46572875976562,87.69742584228516,1.0,154.8555908203125,173.95205688476562,1.0,189.7763671875,179.0278778076172,1.0,138.74168395996094,175.34539794921875,1.0,204.49325561523438,169.84129333496094,1.0
150474,177.24867248535156,163.32789611816406,1.0,135.21511840820312,94.633544921875,1.0,207.2552032470703,87.90614318847656,1.0,155.6107635498047,171.89761352539062,1.0,191.27215576171875,179.56890869140625,1.0,139.6376953125,176.52369689941406,1.0,204.71876525878906,170.14468383789062,1.0
150475,177.94679260253906,162.70233154296875,1.0,135.47059631347656,95.41416931152344,1.0,207.7261962890625,87.66522216796875,1.0,157.0199432373047,170.2897186279297,1.0,192.452880859375,180.0934295654297,1.0,139.8238983154297,176.85324096679688,1.0,204.43252563476562,170.01263427734375,1.0
150476,178.97671508789062,161.68862915039062,1.0,136.4915008544922,94.94937133789062,1.0,208.37083435058594,86.97907257080078,1.0,158.35791015625,170.12930297851562,1.0,193.7615966796875,178.80123901367188,1.0,139.4996337890625,176.285888671875,1.0,205.3367156982422,169.9938507080078,1.0
150477,179.3714599609375,160.77395629882812,1.0,137.3903350830078,94.12679290771484,1.0,209.05532836914062,85.46241760253906,1.0,158.7772674560547,169.81504821777344,1.0,193.40582275390625,179.7336883544922,1.0,138.63243103027344,176.12811279296875,1.0,206.1297149658203,169.818603515625,0.9999998807907104
150478,179.58450317382812,159.77537536621094,1.0,137.7186279296875,93.64939880371094,1.0,209.47134399414062,84.62053680419922,1.0,158.84530639648438,170.05569458007812,1.0,192.65658569335938,179.44126892089844,1.0,138.54531860351562,175.92979431152344,1.0,206.79721069335938,170.23944091796875,0.9999997615814209
150479,179.63621520996094,158.64947509765625,1.0,138.6160888671875,92.38793182373047,1.0,210.28399658203125,83.88440704345703,1.0,158.25991821289062,170.189208984375,1.0,193.39605712890625,178.51702880859375,1.0,137.75372314453125,175.64707946777344,1.0,206.92311096191406,169.66038513183594,0.9999997615814209
150480,178.500732421875,158.79473876953125,1.0,138.868408203125,90.98703002929688,1.0,211.34364318847656,83.62315368652344,1.0,157.7230987548828,170.1381072998047,1.0,193.61241149902344,178.65785217285156,1.0,137.0590057373047,174.88563537597656,1.0,207.59190368652344,170.54006958007812,0.9999997615814209
150481,178.3584747314453,157.6464385986328,1.0,138.64749145507812,89.74632263183594,1.0,211.536376953125,82.98379516601562,1.0,157.57513427734375,170.22598266601562,0.9999998807907104,194.01669311523438,178.59445190429688,1.0,137.13197326660156,174.88023376464844,1.0,209.1289520263672,171.3326416015625,0.9999998807907104
150482,178.11981201171875,157.42953491210938,1.0,139.58969116210938,88.90629577636719,1.0,211.9658203125,81.31716918945312,1.0,156.32395935058594,170.76553344726562,0.9999998807907104,194.12155151367188,178.18182373046875,1.0,136.6514892578125,174.22720336914062,1.0,208.3884735107422,171.5984344482422,0.9999997615814209
150483,179.16217041015625,156.82286071777344,1.0,139.51673889160156,87.19853210449219,1.0,212.41421508789062,80.04915618896484,1.0,155.6949005126953,170.94921875,0.9999997615814209,194.37588500976562,176.21853637695312,0.9999998807907104,137.19943237304688,173.62278747558594,0.9999998807907104,211.0139923095703,172.72271728515625,0.9999946355819702
150484,179.20555114746094,155.54562377929688,1.0,139.6336212158203,86.04916381835938,1.0,212.59251403808594,79.23472595214844,1.0,156.5529327392578,171.47987365722656,0.9999996423721313,193.87437438964844,176.74794006347656,0.9999994039535522,138.71803283691406,172.45291137695312,0.9999998807907104,213.2580108642578,172.32830810546875,0.9999983310699463
150485,179.64901733398438,154.68064880371094,1.0,140.28424072265625,85.88142395019531,1.0,212.96664428710938,79.27903747558594,1.0,157.422607421875,174.20285034179688,0.9999997615814209,191.55015563964844,175.48776245117188,0.9999970197677612,140.28903198242188,171.97421264648438,0.9999990463256836,215.1383056640625,172.55577087402344,0.9999977350234985
150486,179.86044311523438,155.409423828125,1.0,140.03443908691406,85.44654846191406,1.0,213.40098571777344,79.12836456298828,1.0,163.12808227539062,173.2289581298828,1.0,194.5567626953125,174.46282958984375,0.9999996423721313,138.8295135498047,165.1029052734375,0.9999985694885254,215.72398376464844,175.031982421875,0.9999978542327881
150487,179.232421875,155.76954650878906,1.0,139.60142517089844,86.05469512939453,1.0,213.20225524902344,79.39181518554688,1.0,165.71165466308594,174.46975708007812,1.0,195.73654174804688,173.8478546142578,0.999998927116394,138.0087890625,161.9621124267578,0.999997615814209,216.6095428466797,174.44696044921875,0.9999992847442627
150488,178.12408447265625,157.84713745117188,1.0,138.79843139648438,86.91577911376953,1.0,213.09555053710938,79.67891693115234,1.0,167.64920043945312,179.60890197753906,1.0,198.2002716064453,173.81625366210938,0.9999998807907104,139.3951416015625,161.43270874023438,0.9999951124191284,216.61508178710938,174.989501953125,0.9999998807907104
150489,178.2187957763672,159.2040557861328,1.0,138.11489868164062,88.95228576660156,1.0,212.5236053466797,80.68414306640625,1.0,167.03509521484375,181.40020751953125,1.0,199.14463806152344,173.33758544921875,0.9999984502792358,138.94049072265625,162.75856018066406,0.999997615814209,214.8780517578125,175.2483367919922,0.9999995231628418
150490,179.0760955810547,159.97996520996094,1.0,135.43692016601562,90.40652465820312,1.0,211.45974731445312,81.28024291992188,1.0,167.36062622070312,181.66226196289062,1.0,199.50772094726562,173.0293426513672,0.9999984502792358,133.4268341064453,160.74440002441406,0.9999756813049316,215.62962341308594,173.9551544189453,0.9999996423721313
150491,179.526123046875,161.254150390625,1.0,132.97987365722656,94.37061309814453,1.0,210.25039672851562,81.4566650390625,1.0,167.0922088623047,181.79034423828125,1.0,199.36068725585938,173.13320922851562,0.999998927116394,133.61045837402344,163.17518615722656,0.9999034404754639,215.2493896484375,174.33424377441406,0.9999997615814209
150492,179.45872497558594,161.3279266357422,1.0,131.6661834716797,95.43401336669922,1.0,209.63934326171875,81.55122375488281,1.0,167.4909210205078,182.49717712402344,1.0,199.59414672851562,175.7982940673828,0.9999992847442627,131.4854278564453,164.41184997558594,0.9999929666519165,217.45684814453125,176.04690551757812,1.0
150493,179.2702178955078,162.0037841796875,1.0,131.50372314453125,95.53406524658203,1.0,209.07737731933594,81.72776794433594,1.0,167.2369384765625,182.34999084472656,1.0,198.1237335205078,177.19960021972656,0.9999998807907104,130.55587768554688,166.46884155273438,0.9999884366989136,218.10369873046875,176.38072204589844,1.0
150494,178.425048828125,162.31961059570312,1.0,132.28427124023438,94.38424682617188,1.0,209.33114624023438,82.00822448730469,1.0,167.2118682861328,182.09336853027344,1.0,197.63006591796875,175.7078399658203,0.9999995231628418,132.26876831054688,169.8282928466797,0.999995231628418,216.1873779296875,174.9880828857422,0.9999997615814209
150495,177.9633331298828,163.29534912109375,1.0,132.55165100097656,92.70889282226562,1.0,210.3033447265625,82.77580261230469,1.0,166.84678649902344,181.87918090820312,1.0,198.05503845214844,173.8046875,0.9999998807907104,133.63311767578125,170.26657104492188,0.9999960660934448,213.644775390625,174.82220458984375,0.9999998807907104
150496,177.7185516357422,163.68035888671875,1.0,132.7421417236328,91.10791015625,1.0,210.58193969726562,82.74039459228516,1.0,165.96377563476562,181.826416015625,1.0,197.93304443359375,174.20596313476562,0.9999998807907104,134.53025817871094,168.10914611816406,0.9999991655349731,212.0854949951172,176.60723876953125,0.9999998807907104
150497,177.62677001953125,163.94656372070312,1.0,132.46778869628906,90.49446868896484,1.0,210.08006286621094,82.04483795166016,1.0,166.29165649414062,181.23333740234375,1.0,199.08792114257812,172.6865997314453,0.9999998807907104,134.13096618652344,166.11065673828125,0.9999997615814209,210.31976318359375,177.51229858398438,0.9999998807907104
150498,177.6443328857422,163.87142944335938,1.0,132.29318237304688,89.99282836914062,1.0,209.16281127929688,81.2262191772461,1.0,166.20408630371094,180.65289306640625,1.0,198.0673370361328,172.64688110351562,0.9999998807907104,134.62278747558594,166.52023315429688,0.9999998807907104,210.95826721191406,177.2050018310547,1.0
150499,177.68130493164062,163.26084899902344,1.0,131.5822296142578,89.78941345214844,1.0,208.53956604003906,80.5019760131836,1.0,166.25326538085938,180.61776733398438,1.0,196.03070068359375,173.01666259765625,0.9999998807907104,135.69815063476562,167.62539672851562,0.9999998807907104,209.52867126464844,176.2017822265625,0.9999998807907104
150500,178.70350646972656,163.3527069091797,1.0,130.84898376464844,89.37635803222656,1.0,208.24778747558594,79.97422790527344,1.0,165.89590454101562,179.4163055419922,1.0,194.6538848876953,174.52142333984375,0.9999997615814209,137.84793090820312,169.11807250976562,0.9999998807907104,208.06996154785156,173.78201293945312,0.9999990463256836
150501,178.31719970703125,162.8577423095703,1.0,130.18951416015625,89.0660400390625,1.0,207.88719177246094,79.7312240600586,1.0,161.9080352783203,178.1658935546875,1.0,193.0036163330078,176.23350524902344,1.0,139.31556701660156,172.63328552246094,1.0,211.92576599121094,174.22216796875,1.0
150502,179.09242248535156,163.09072875976562,1.0,130.00851440429688,89.99030303955078,1.0,206.76290893554688,80.10615539550781,1.0,159.14083862304688,177.77618408203125,1.0,197.19857788085938,178.0548553466797,1.0,139.73178100585938,176.3721923828125,1.0,212.8766632080078,176.81141662597656,0.9999998807907104
150503,178.34425354003906,163.1723175048828,1.0,130.35205078125,91.32227325439453,1.0,206.2547149658203,80.97554779052734,1.0,155.26626586914062,175.35609436035156,0.9999998807907104,199.38406372070312,183.54884338378906,1.0,138.76388549804688,180.88629150390625,1.0,210.46348571777344,177.8055419921875,0.9999998807907104
150504,178.56239318847656,163.5133056640625,1.0,130.90367126464844,91.30342864990234,1.0,207.44496154785156,82.91123962402344,1.0,154.7060089111328,175.52635192871094,0.9999998807907104,199.45814514160156,185.5106201171875,1.0,139.0806884765625,181.42611694335938,1.0,211.67369079589844,178.18292236328125,0.9999998807907104
150505,178.71902465820312,165.57418823242188,1.0,131.81069946289062,92.20689392089844,1.0,209.6244659423828,86.18240356445312,1.0,155.57298278808594,178.4941864013672,1.0,198.69158935546875,185.93077087402344,1.0,138.3667449951172,181.7837371826172,1.0,211.6192626953125,179.03517150878906,1.0
150506,179.90794372558594,167.1346893310547,1.0,131.9963836669922,93.61143493652344,1.0,211.5660400390625,88.08634185791016,1.0,154.78533935546875,178.9932403564453,1.0,197.98196411132812,186.51206970214844,1.0,138.0175323486328,182.01068115234375,1.0,211.76783752441406,179.30520629882812,1.0
150507,181.1386260986328,167.5725555419922,1.0,133.0203094482422,94.01665496826172,1.0,212.5257568359375,88.32009887695312,1.0,153.65162658691406,178.81765747070312,1.0,198.29861450195312,186.89404296875,1.0,137.70718383789062,182.3441162109375,1.0,210.8961181640625,179.39944458007812,1.0
150508,182.62234497070312,167.1571502685547,1.0,134.03900146484375,93.52111053466797,1.0,212.60899353027344,87.50846099853516,1.0,153.3135223388672,176.18923950195312,0.9999997615814209,198.29808044433594,186.9395294189453,1.0,137.8253936767578,182.1709747314453,1.0,209.93157958984375,179.55172729492188,0.9999998807907104
150509,184.3008270263672,165.62367248535156,1.0,134.1739959716797,93.93155670166016,1.0,213.01475524902344,86.14592742919922,1.0,154.85745239257812,174.127197265625,1.0,198.9603729248047,187.05902099609375,1.0,137.41921997070312,182.2379150390625,1.0,209.61227416992188,179.7264862060547,0.9999995231628418
150510,185.79689025878906,164.66615295410156,1.0,133.89527893066406,94.49214935302734,1.0,213.58892822265625,85.08860778808594,1.0,156.6595916748047,172.82485961914062,1.0,199.98001098632812,186.72412109375,1.0,136.6514892578125,181.6590576171875,1.0,209.857421875,179.28680419921875,0.9999997615814209
150511,187.4267578125,164.29612731933594,1.0,134.31048583984375,94.28275299072266,1.0,213.48715209960938,83.96509552001953,1.0,157.33963012695312,171.429443359375,1.0,200.29940795898438,186.49722290039062,1.0,136.7062530517578,181.0128936767578,1.0,209.82240295410156,178.2096710205078,0.9999992847442627
150512,187.93650817871094,163.50062561035156,1.0,134.63406372070312,93.18328857421875,1.0,214.18336486816406,82.8907241821289,1.0,157.72732543945312,172.7770538330078,1.0,200.52880859375,186.63427734375,1.0,136.91824340820312,180.31663513183594,1.0,210.2303466796875,178.4465789794922,0.9999997615814209
150513,187.3175811767578,163.14883422851562,1.0,135.78775024414062,91.30691528320312,1.0,215.4186553955078,82.19390106201172,1.0,158.8845977783203,174.12571716308594,1.0,200.61276245117188,186.93624877929688,1.0,135.51324462890625,179.62100219726562,1.0,210.294921875,178.9150848388672,0.9999997615814209
150514,185.72332763671875,163.4674835205078,1.0,136.79879760742188,89.6282958984375,1.0,216.27719116210938,81.90525817871094,1.0,159.3032989501953,173.74227905273438,1.0,200.93307495117188,187.03587341308594,1.0,135.89146423339844,178.31304931640625,1.0,211.13893127441406,180.21292114257812,1.0
150515,184.22015380859375,163.99610900878906,1.0,137.42929077148438,88.82003021240234,1.0,216.5612335205078,81.6207504272461,1.0,158.75845336914062,173.53390502929688,0.9999998807907104,200.2444610595703,187.08511352539062,1.0,135.8896026611328,177.99681091308594,1.0,212.1245880126953,181.20570373535156,1.0
150516,183.24710083007812,165.15130615234375,1.0,138.2651824951172,89.09291076660156,1.0,217.20980834960938,82.4532241821289,1.0,161.17462158203125,176.5298614501953,1.0,198.97683715820312,186.47984313964844,1.0,137.5708465576172,177.91152954101562,1.0,213.33802795410156,178.83189392089844,1.0
150517,182.55686950683594,166.30262756347656,1.0,138.65223693847656,89.11636352539062,1.0,218.55409240722656,84.0959701538086,1.0,164.2587890625,179.98338317871094,1.0,201.28594970703125,180.32054138183594,0.9999998807907104,138.5382537841797,176.2609405517578,1.0,214.1395263671875,177.65696716308594,1.0
150518,182.39117431640625,167.5212860107422,1.0,139.3597412109375,89.28340911865234,1.0,219.08973693847656,85.30216979980469,1.0,162.85064697265625,186.57769775390625,1.0,201.94786071777344,179.7643280029297,1.0,139.35653686523438,171.5411376953125,0.9999998807907104,216.0179443359375,181.4813690185547,1.0
150519,182.4073486328125,167.87371826171875,1.0,138.7456512451172,90.87765502929688,1.0,218.97970581054688,86.89970397949219,1.0,164.36585998535156,189.31983947753906,1.0,201.60836791992188,184.55763244628906,1.0,136.88108825683594,167.93038940429688,0.9999743700027466,216.14517211914062,185.3269805908203,1.0
150520,182.74180603027344,168.8500213623047,1.0,135.92974853515625,95.21436309814453,1.0,217.77984619140625,87.4983139038086,1.0,163.92381286621094,188.44619750976562,1.0,200.62164306640625,186.75628662109375,1.0,134.15887451171875,166.59959411621094,0.999602735042572,216.5995635986328,186.64231872558594,1.0
150521,182.81753540039062,169.79415893554688,1.0,131.99903869628906,99.4788818359375,1.0,216.2333221435547,87.47782897949219,1.0,164.18540954589844,188.48577880859375,1.0,202.24148559570312,187.43063354492188,1.0,132.46864318847656,167.87571716308594,0.999566376209259,218.02000427246094,186.35183715820312,1.0
150522,182.68482971191406,169.50006103515625,1.0,130.26516723632812,100.73328399658203,1.0,215.32786560058594,86.21823120117188,1.0,163.99874877929688,188.19407653808594,1.0,203.83029174804688,187.62461853027344,1.0,129.87156677246094,169.30503845214844,0.9999309778213501,217.7142791748047,186.70166015625,1.0
150523,182.24853515625,168.52859497070312,1.0,129.23583984375,100.75933837890625,1.0,214.2892303466797,85.15989685058594,1.0,163.74391174316406,187.96994018554688,1.0,204.9593963623047,187.1108856201172,1.0,127.12741088867188,172.5625,0.9999979734420776,217.22454833984375,187.20323181152344,1.0
150524,181.34959411621094,167.93121337890625,1.0,129.08306884765625,99.50303649902344,1.0,213.33119201660156,84.18142700195312,1.0,163.9759063720703,187.98785400390625,1.0,204.3151397705078,186.91940307617188,1.0,124.81951904296875,177.0149688720703,0.9999992847442627,217.5344696044922,186.4779815673828,1.0
150525,180.18780517578125,167.13539123535156,1.0,129.6012725830078,97.4792709350586,1.0,212.87953186035156,84.0888671875,1.0,163.80604553222656,188.10826110839844,1.0,203.53317260742188,185.00294494628906,1.0,124.00830078125,178.14080810546875,0.9999998807907104,217.02651977539062,186.11395263671875,1.0
150526,179.69674682617188,167.62413024902344,1.0,129.6439208984375,95.33397674560547,1.0,213.44219970703125,84.3461685180664,1.0,163.7512969970703,188.55711364746094,1.0,204.64768981933594,183.8318328857422,1.0,125.66203308105469,177.64959716796875,0.9999996423721313,216.56646728515625,185.83399963378906,0.9999998807907104
150527,178.8726806640625,168.2984619140625,1.0,129.6192626953125,93.22532653808594,1.0,213.89979553222656,84.13107299804688,1.0,163.7714385986328,188.60928344726562,1.0,205.73129272460938,183.0605010986328,1.0,126.16175842285156,176.0884552001953,0.9999997615814209,218.4988555908203,184.43157958984375,1.0
150528,178.2608642578125,169.1669921875,1.0,129.2922821044922,91.36489868164062,1.0,214.6953125,84.1323471069336,1.0,163.65333557128906,188.00314331054688,1.0,206.08815002441406,182.23619079589844,1.0,126.31583404541016,175.11962890625,1.0,218.01107788085938,185.43133544921875,0.9999998807907104
150529,178.3056182861328,170.2499237060547,1.0,129.30133056640625,89.93486022949219,1.0,215.59230041503906,82.98725891113281,1.0,163.3335418701172,188.50473022460938,1.0,206.26895141601562,181.1501922607422,1.0,125.8305435180664,175.216552734375,1.0,217.7013702392578,184.88954162597656,0.9999997615814209
150530,178.18414306640625,170.32884216308594,1.0,129.88499450683594,88.85694885253906,1.0,215.11004638671875,82.11570739746094,1.0,162.29721069335938,186.69183349609375,1.0,205.42311096191406,180.81459045410156,1.0,126.90692138671875,177.2565155029297,1.0,217.91490173339844,184.5369415283203,0.9999998807907104
150531,178.78005981445312,170.45071411132812,1.0,129.95166015625,88.84798431396484,1.0,214.4022216796875,81.53063201904297,1.0,160.15243530273438,184.64382934570312,1.0,203.44927978515625,182.4001007080078,1.0,129.07440185546875,180.22286987304688,1.0,218.4410858154297,184.53363037109375,1.0
